BHID,X,Y,Z,DENSITY,PGE,CU,NI,PT,PD,RH,AU
WA122D0,62086.28,-184030.84,603.75,3.9259,5.8492,0.0319,0.1527,3.0757,2.1816,0.4943,0.0975
WA122D3,62085.9,-184030.5,602.41,3.8479,5.5184,0.0219,0.1401,2.9708,1.9791,0.4655,0.103
WA123D0,62579.59,-184451.3,594.16,4.134,6.8616,0.0754,0.2302,3.3727,2.8047,0.4696,0.2146
WA123D3,62579.11,-184451.05,594.34,3.8343,5.3637,0.0292,0.1524,3.1212,1.7432,0.4194,0.08
WA123D4,62578.99,-184451.03,594.22,4.008,5.4882,0.0277,0.1526,3.2802,1.6399,0.5042,0.0639
WA124D0,62518.5,-182495.84,787.09,3.7886,7.7331,0.0363,0.1752,3.4173,3.5873,0.6367,0.0918
WA124D3,62518.13,-182495.5,786.89,3.8762,7.1735,0.0236,0.1599,3.2528,3.1917,0.6473,0.0817
WA124D5,62518.27,-182495.63,786.53,3.8502,4.5609,0.0256,0.1816,2.2004,1.9092,0.3776,0.0738
WA127D0,64393.65,-182783.75,875.83,4.0475,8.1672,0.0168,0.1549,4.2425,3.1702,0.6605,0.0941
WA127D1,64393.36,-182783.73,875.76,4.061,7.9721,0.0216,0.168,4.6509,2.5177,0.7132,0.0903
WA127D2,64393.24,-182783.78,875.44,4.1437,8.1205,0.027,0.1726,4.391,2.9594,0.6453,0.1248
WA128D0,61614.11,-182746.8,713.52,3.7214,4.271,0.021,0.1169,2.3127,1.5325,0.3328,0.0929
WA128D1,61613.81,-182746.67,713.61,3.7365,4.8991,0.043,0.1491,2.6054,1.826,0.3442,0.1235
WA128D2,61613.68,-182746.61,713.49,3.7403,4.431,0.0397,0.1426,2.4421,1.5172,0.3447,0.127
WA129D0,61815.56,-182748.14,721.01,3.9165,5.5524,0.0351,0.1806,3.09,1.9106,0.4537,0.098
WA129D1,61815.28,-182748.16,721.25,4.0175,6.7642,0.0245,0.1495,3.6631,2.4297,0.5882,0.0832
WA129D2,61815.18,-182748.22,721.2,3.9579,6.1299,0.0295,0.1608,3.1776,2.3484,0.4738,0.1301
